구분,명칭,경도,위도
파출소,학암포파출소,126.2061746,36.90192652
파출소,한강파출소,126.917802,37.535045
파출소,한림파출소,126.2625193,33.41930793
파출소,해망파출소,126.7105614,35.99275195
파출소,호미곶파출소,129.563751,36.07849876
파출소,홍성파출소,126.4720359,36.53935194
파출소,홍원파출소,126.4994499,36.15899309
파출소,화순파출소,126.337039,33.23776
파출소,회진파출소,126.9381079,34.48032375
파출소,후포파출소,129.4536787,36.68067936
파출소,흑산파출소,125.44224,34.68415
