번호,처리현황,신고번호,지역,접수일자,신고종류,활동종류,활동시작일,활동마지막일,기간
217,신고수리완료,2020-통영-88,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
218,신고수리완료,2020-통영-89,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
219,신고수리완료,2020-통영-90,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
220,신고수리완료,2020-통영-91,통영,2020-08-02,건별 신고,수상,2020-08-02,2020-08-02,0
221,신고수리완료,2020-여수-50,여수,2020-08-01,건별 신고,수중,2020-08-02,2020-08-02,0
222,신고수리완료,2020-통영-67,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
223,신고수리완료,2020-통영-68,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
224,신고수리완료,2020-통영-69,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
225,신고수리완료,2020-통영-70,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
226,신고수리완료,2020-통영-71,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
227,신고수리완료,2020-통영-72,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
228,신고수리완료,2020-통영-73,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
229,신고수리완료,2020-통영-74,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
230,신고수리완료,2020-통영-75,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
231,신고수리완료,2020-통영-76,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
232,신고수리완료,2020-통영-77,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
233,신고수리완료,2020-통영-78,통영,2020-08-01,건별 신고,수상,2020-08-01,2020-08-01,0
234,신고수리완료,2020-여수-49,여수,2020-07-31,건별 신고,수중,2020-08-01,2020-08-01,0
235,신고수리완료,2020-통영-57,통영,2020-07-31,건별 신고,수상,2020-07-30,2020-07-30,0
236,신고수리완료,2020-통영-58,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
237,신고수리완료,2020-통영-59,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
238,신고수리완료,2020-통영-60,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
239,신고수리완료,2020-통영-61,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
240,신고수리완료,2020-통영-62,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
241,신고수리완료,2020-통영-63,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
242,신고수리완료,2020-통영-64,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
243,신고수리완료,2020-통영-65,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
244,신고수리완료,2020-통영-66,통영,2020-07-31,건별 신고,수상,2020-07-31,2020-07-31,0
245,신고수리완료,2020-여수-47,여수,2020-07-30,건별 신고,수중,2020-07-30,2020-07-30,0
246,신고수리완료,2020-여수-48,여수,2020-07-30,건별 신고,수중,2020-07-31,2020-07-31,0
247,신고수리완료,2020-통영-50,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
248,신고수리완료,2020-통영-51,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
249,신고수리완료,2020-통영-52,통영,2020-07-30,건별 신고,수상,2020-07-29,2020-07-29,0
250,신고수리완료,2020-통영-53,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
251,신고수리완료,2020-통영-54,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
252,신고수리완료,2020-통영-55,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
253,신고수리완료,2020-통영-56,통영,2020-07-30,건별 신고,수상,2020-07-30,2020-07-30,0
254,신고수리완료,2020-통영-45,통영,2020-07-29,건별 신고,수상,2020-07-27,2020-07-27,0
255,신고수리완료,2020-통영-46,통영,2020-07-29,건별 신고,수상,2020-07-27,2020-07-27,0
256,신고수리완료,2020-통영-47,통영,2020-07-29,건별 신고,수상,2020-07-27,2020-07-27,0
257,신고수리완료,2020-통영-48,통영,2020-07-29,건별 신고,수상,2020-07-29,2020-07-29,0
258,신고수리완료,2020-통영-49,통영,2020-07-29,건별 신고,수상,2020-07-29,2020-07-29,0
259,신고수리완료,2020-통영-43,통영,2020-07-27,건별 신고,수상,2020-07-26,2020-07-26,0
260,신고수리완료,2020-통영-44,통영,2020-07-27,건별 신고,수상,2020-07-27,2020-07-27,0
261,신고수리완료,2020-통영-40,통영,2020-07-26,건별 신고,수상,2020-07-26,2020-07-26,0
262,신고수리완료,2020-통영-41,통영,2020-07-26,건별 신고,수상,2020-07-26,2020-07-26,0
263,신고수리완료,2020-통영-42,통영,2020-07-26,건별 신고,수상,2020-07-26,2020-07-26,0
264,신고수리완료,2020-통영-33,통영,2020-07-25,건별 신고,수상,2020-07-22,2020-07-22,0
