발생일자,연도,시간,시간대,요일,지방청,해경서, 파출소,시·도,시·군·구,읍·면·동,상세주소,대분류,중분류,위치,대분류,세분류,위도,경도
2013-04-01,2013,,,,동해 지방청,동해,삼척 파출소,강원도,삼척시,근덕면,궁촌항 물양장 내,항포구,궁촌항,물량장,침수,추락,37.32728333,129.2692278
2013-04-04,2013,00:00,,,서해 지방청,완도,땅끝 파출소,전라남도,해남군,황산면,해남군 황산명 부곡리 성산항 방파제,항포구,성산항,방파제,비침수,추락,34.53665278,126.3970417
2013-04-14,2013,03:36,오전,,남해 지방청,통영,통영 파출소,경상남도,통영시,미수동,통영시 미수동 동양냉동 앞,해안가,해안도로,,,추락,34.82825,128.4001111
2013-05-01,2013,,,,동해 지방청,동해,울릉 파출소,경상북도,울릉군,울릉읍,사동신항 중앙부두 앞 ,항포구,사동항,중앙부두 앞,침수,추락,37.46039444,130.8764194
2013-05-03,2013,,,,동해 지방청,동해,울릉 파출소,경상북도,울릉군,울릉읍,도동항 화물차량 주차장,항포구,도동항,화물차량 주차장,침수,추락,37.48200278,130.9085444
2013-05-03,2013,14:45,오후,,남해 지방청,통영,통영 파출소,경상남도,통영시,미수동,통영시 당동 십오야장어 건녀편 물양장,항포구,물양장,,침수,추락,34.83041667,128.40425
2013-05-06,2013,05:00,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,대천항 보령수협위판장 앞 선착장,항포구,대천항,수협,침수,추락,36.32794444,126.5070028
2013-05-17,2013,15:00,,,서해 지방청,완도,마량 파출소,전라남도,강진군,마량면,전남 강진군 마량면 강진수협위판장 앞 ,항포구,마량항,강진수협위판장 앞,침수,추락,34.44888889,126.8225556
2013-05-17,2013,06:46,,,서해 지방청,여수,광양 파출소,전라남도,광양시,금호동,광양시 금호동 금호대교,해안가,금호대교,,침수,추락,34.947725,127.7215889
2013-05-21,2013,11:50,오전,화요일,제주 지방청,제주,추자 파출소,제주특별자치도,제주시,추자면,추자 신양항 동방파제 공사현장,방파제,,,비침수,추락,33.94055556,126.3291667
2013-05-22,2013,,,,서해 지방청,목포,지도 파출소,전라남도,함평군,월천리,109횟집 앞 선착장,항포구,선착장,,침수,추락,35.13705556,126.4021944
2013-05-22,2013,14:10,오후,,남해 지방청,통영,고현 파출소,경상남도,거제시,장목면,거제시 장목면 외포항 국자횟집 앞 약10m ,항포구,해안도로,,,추락,34.939,128.7183056
2013-05-24,2013,15:50,,,제주 지방청,제주,추자 파출소,제주특별자치도,제주시,추자면,추자 신양항 남방파제,방파제,,,침수,추락,33.945125,126.3284111
2013-05-28,2013,10:50,오전,화요일,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,제주항57번 선석,제주항 57번 선석 앞 ,항포구,,,침수,추락,33.52355833,126.5402444
2013-05-31,2013,09:20,,,중부 지방청,인천,대청 파출소,인천광역시,웅진군,백령면,백령도 사항포 포구 차량 추락 관련,방파제,사항포구,방파제,침수,추락,37.97219444,124.6477778
2013-06-04,2013,,,,중부 지방청,평택,안산 파출소,경기도,안산시,대부북동,경기도안산시단원구 대부북동 방아머리선착장,항포구,방아머리,선착장,비침수,추락,37.29665,126.5740361
